iter	Passed	Remaining
0	32	6460
1	62	6176
2	92	6090
3	123	6034
4	152	5952
5	184	5980
6	216	5976
7	254	6115
8	300	6379
9	350	6650
10	439	7553
11	483	7571
12	519	7476
13	559	7435
14	598	7386
15	639	7355
16	679	7315
17	718	7262
18	757	7214
19	797	7176
20	835	7118
21	870	7041
22	907	6983
23	947	6951
24	988	6919
25	1025	6860
26	1060	6798
27	1099	6752
28	1143	6740
29	1186	6723
30	1225	6682
31	1261	6623
32	1299	6578
33	1341	6549
34	1381	6511
35	1417	6456
36	1451	6394
37	1487	6342
38	1520	6278
39	1560	6241
40	1600	6206
41	1633	6144
42	1672	6106
43	1711	6067
44	1745	6011
45	1783	5970
46	1818	5920
47	1851	5861
48	1889	5823
49	1924	5772
50	1959	5725
51	1994	5675
52	2027	5622
53	2064	5581
54	2103	5546
55	2137	5496
56	2171	5446
57	2210	5413
58	2246	5369
59	2284	5330
60	2318	5283
61	2355	5242
62	2393	5203
63	2425	5153
64	2458	5105
65	2495	5065
66	2534	5031
67	2566	4982
68	2598	4932
69	2631	4887
70	2672	4855
71	2709	4817
72	2744	4773
73	2776	4726
74	2815	4691
75	2850	4650
76	2881	4602
77	2911	4553
78	2943	4508
79	2975	4463
80	3007	4418
81	3045	4382
82	3084	4348
83	3124	4314
84	3155	4269
85	3193	4233
86	3226	4190
87	3261	4151
88	3302	4118
89	3343	4086
90	3378	4046
91	3411	4005
92	3457	3977
93	3496	3942
94	3534	3906
95	3574	3872
96	3606	3829
97	3640	3788
98	3674	3748
99	3715	3715
100	3762	3688
101	3797	3648
102	3839	3615
103	3872	3574
104	3913	3540
105	3944	3497
106	3976	3456
107	4008	3414
108	4048	3379
109	4080	3338
110	4113	3297
111	4145	3256
112	4188	3225
113	4223	3186
114	4255	3145
115	4286	3104
116	4318	3063
117	4362	3031
118	4401	2995
119	4440	2960
120	4471	2919
121	4508	2882
122	4537	2840
123	4574	2803
124	4607	2764
125	4648	2729
126	4689	2695
127	4721	2655
128	4754	2616
129	4791	2580
130	4824	2541
131	4862	2505
132	4901	2468
133	4931	2428
134	4963	2389
135	5005	2355
136	5035	2315
137	5069	2277
138	5100	2238
139	5134	2200
140	5167	2162
141	5206	2126
142	5237	2087
143	5278	2052
144	5309	2014
145	5340	1975
146	5376	1938
147	5415	1902
148	5458	1868
149	5492	1830
150	5524	1792
151	5554	1754
152	5587	1716
153	5618	1678
154	5651	1640
155	5688	1604
156	5720	1566
157	5757	1530
158	5788	1492
159	5822	1455
160	5853	1417
161	5893	1382
162	5925	1345
163	5958	1308
164	5996	1272
165	6027	1234
166	6065	1198
167	6095	1161
168	6126	1123
169	6156	1086
170	6189	1049
171	6232	1014
172	6264	977
173	6296	940
174	6326	903
175	6360	867
176	6396	831
177	6429	794
178	6465	758
179	6495	721
180	6525	685
181	6557	648
182	6589	612
183	6623	575
184	6657	539
185	6702	504
186	6742	468
187	6776	432
188	6815	396
189	6848	360
190	6885	324
191	6915	288
192	6956	252
193	6987	216
194	7029	180
195	7060	144
196	7091	107
197	7122	71
198	7153	35
199	7190	0
