iter	Passed	Remaining
0	400	79607
1	767	75982
2	1097	72037
3	1426	69918
4	1719	67049
5	2015	65173
6	2341	64567
7	2648	63563
8	2945	62517
9	3260	61953
10	3570	61349
11	3887	60902
12	4192	60308
13	4518	60035
14	4839	59684
15	5173	59495
16	5495	59152
17	5795	58595
18	6168	58764
19	6519	58671
20	6817	58113
21	7187	58152
22	7517	57849
23	7820	57352
24	8119	56836
25	8422	56366
26	8710	55812
27	9012	55362
28	9299	54834
29	9587	54331
30	9886	53897
31	10169	53389
32	10461	52940
33	10743	52454
34	11020	51953
35	11292	51444
36	11595	51082
37	11869	50600
38	12148	50149
39	12421	49685
40	12699	49249
41	12989	48865
42	13274	48466
43	13548	48037
44	13833	47648
45	14100	47206
46	14378	46807
47	14655	46410
48	14932	46017
49	15298	45895
50	15565	45477
51	15822	45033
52	16094	44639
53	16359	44232
54	16633	43851
55	16919	43506
56	17174	43087
57	17452	42728
58	17706	42316
59	17978	41949
60	18241	41566
61	18519	41220
62	18794	40869
63	19055	40493
64	19324	40135
65	19564	39722
66	19817	39340
67	20062	38945
68	20339	38616
69	20585	38229
70	20828	37842
71	21101	37513
72	21392	37217
73	21653	36868
74	21934	36557
75	22199	36220
76	22443	35850
77	22707	35517
78	22943	35141
79	23224	34836
80	23492	34514
81	23729	34147
82	23976	33797
83	24244	33480
84	24474	33112
85	24707	32751
86	25018	32494
87	25287	32184
88	25524	31833
89	25766	31491
90	26032	31181
91	26301	30875
92	26530	30524
93	26819	30243
94	27119	29973
95	27358	29638
96	27636	29346
97	27900	29039
98	28168	28737
99	28409	28409
100	28697	28129
101	28977	27840
102	29204	27503
103	29445	27180
104	29715	26885
105	29995	26599
106	30268	26307
107	30510	25990
108	30791	25706
109	31044	25400
110	31279	25079
111	31508	24757
112	31789	24474
113	32054	24181
114	32287	23864
115	32506	23539
116	32782	23255
117	33047	22965
118	33279	22652
119	33566	22377
120	33877	22118
121	34170	21847
122	34438	21559
123	34729	21286
124	34950	20970
125	35184	20663
126	35413	20355
127	35670	20064
128	35959	19791
129	36220	19503
130	36472	19210
131	36767	18941
132	37075	18677
133	37351	18397
134	37618	18112
135	37938	17853
136	38219	17575
137	38460	17279
138	38728	16995
139	39036	16729
140	39296	16443
141	39552	16155
142	39784	15858
143	40069	15582
144	40371	15313
145	40663	15039
146	40882	14739
147	41162	14462
148	41502	14205
149	41721	13907
150	41989	13625
151	42208	13329
152	42510	13058
153	42780	12778
154	43017	12488
